,대지위치,주용도코드명,자전거전용도로비율,stcnsDelayDay,실제착공일,지역코드명
693,서울특별시 강남구 개포동 1226-8번지, , , , , 
694,서울특별시 강남구 개포동 1226-8번지,공동주택,20190306, ,20190312,제2종일반주거지역
695,서울특별시 강남구 개포동 1226-9번지, , , , , 
696,서울특별시 강남구 개포동 1226-9번지,공동주택,20190306, ,20190312,제2종일반주거지역
697,서울특별시 강남구 개포동 1226-11번지,제2종근린생활시설,20110314, ,20110316,도시지역
698,서울특별시 강남구 개포동 1227-2번지,공동주택,20150902, ,20150903,도시지역
699,서울특별시 강남구 개포동 1227-2번지, , , , ,제2종일반주거지역
700,서울특별시 강남구 개포동 1227-3번지,공동주택, , , ,상대보호구역
701,서울특별시 강남구 개포동 1227-7번지,공동주택, , , ,도시지역
702,서울특별시 강남구 개포동 1227-11번지,제2종근린생활시설, , , ,상대보호구역
703,서울특별시 강남구 개포동 1228번지,제2종근린생활시설, , , ,제3종일반주거지역
704,서울특별시 강남구 개포동 1228번지,업무시설,20000711, ,20110412,일반주거지역
705,서울특별시 강남구 개포동 1228-2번지,제2종근린생활시설, , , ,도시지역
706,서울특별시 강남구 개포동 1228-2번지,제2종근린생활시설, , , ,도시지역
707,서울특별시 강남구 개포동 1228-2번지,제2종근린생활시설, , , ,도시지역
708,서울특별시 강남구 개포동 1228-3번지,제2종근린생활시설, , , ,도시지역
709,서울특별시 강남구 개포동 1229번지, , , , ,준주거지역
710,서울특별시 강남구 개포동 1229-1번지,노유자시설,20210118, ,20210127,준주거지역
711,서울특별시 강남구 개포동 1229-2번지, , , , ,준주거지역
712,서울특별시 강남구 개포동 1229-3번지,제2종근린생활시설,20110817, ,20110818,준주거지역
713,서울특별시 강남구 개포동 1229-3번지,제2종근린생활시설,20170927, ,20171020,도시지역
714,서울특별시 강남구 개포동 1229-6번지,업무시설,20180219, ,20180227,도시지역
715,서울특별시 강남구 개포동 1229-8번지, , , , ,준주거지역
716,서울특별시 강남구 개포동 1229-8번지,숙박시설,20160401, ,20160407,준주거지역
717,서울특별시 강남구 개포동 1229-9번지,제1종근린생활시설, , , ,준주거지역
718,서울특별시 강남구 개포동 1229-9번지,제2종근린생활시설,20160720, ,20160726,준주거지역
719,서울특별시 강남구 개포동 1229-10번지,업무시설,20160218, ,20160219,도시지역
720,서울특별시 강남구 개포동 1229-14번지,숙박시설,20121122, ,20121122,준주거지역
721,서울특별시 강남구 개포동 1229-16번지,업무시설, , , ,준주거지역
722,서울특별시 강남구 개포동 1229-16번지,제2종근린생활시설,20220826, ,20220908,상대보호구역
723,서울특별시 강남구 개포동 1230번지,업무시설,20200511, ,20200518,제2종일반주거지역
724,서울특별시 강남구 개포동 1230-7번지,제2종근린생활시설, , , ,상대보호구역
725,서울특별시 강남구 개포동 1230-9번지,제1종근린생활시설, , , ,도시지역
726,서울특별시 강남구 개포동 1230-12번지,의료시설,20160523, ,20160519,제2종일반주거지역
727,서울특별시 강남구 개포동 1231-3번지,제2종근린생활시설,20151120, ,20151120,제2종일반주거지역
728,서울특별시 강남구 개포동 1231-5번지,제2종근린생활시설, , , ,도시지역
729,서울특별시 강남구 개포동 1231-5번지,제2종근린생활시설,20210115, ,20201230,제2종일반주거지역
730,서울특별시 강남구 개포동 1231-8번지,공동주택,20150612, ,20150619,도시지역
731,서울특별시 강남구 개포동 1231-9번지,제2종근린생활시설,20080701, ,20080702,제2종일반주거지역
732,서울특별시 강남구 개포동 1231-9번지,제2종근린생활시설, , , ,제2종일반주거지역
733,서울특별시 강남구 개포동 1231-20번지,제1종근린생활시설, , , ,제2종일반주거지역
734,서울특별시 강남구 개포동 1231-21번지,공동주택,20120824, ,20120824,도시지역
735,서울특별시 강남구 개포동 1231-23번지,제2종근린생활시설, , , ,제2종일반주거지역
736,서울특별시 강남구 개포동 1231-24번지,제2종근린생활시설,20080503, ,20080506,제2종일반주거지역
737,서울특별시 강남구 개포동 1232-6번지,공동주택,20180220, ,20180221,도시지역
738,서울특별시 강남구 개포동 1232-14번지,공동주택,20180220, ,20180221,도시지역
739,서울특별시 강남구 개포동 1233-8번지,공동주택,20160701, ,20160701,도시지역
740,서울특별시 강남구 개포동 1233-10번지,단독주택, , , ,도시지역
741,서울특별시 강남구 개포동 1233-10번지,단독주택,20151228, ,20151229,도시지역
742,서울특별시 강남구 개포동 1233-15번지,제1종근린생활시설, , , ,제2종일반주거지역
743,서울특별시 강남구 개포동 1233-22번지,공동주택,20140905, ,20140902,제2종일반주거지역
744,서울특별시 강남구 개포동 1234-1번지,단독주택,20070803, ,20070802,도시지역
745,서울특별시 강남구 개포동 1234-1번지,단독주택, , , ,도시지역
746,서울특별시 강남구 개포동 1234-6번지,노유자시설, , , ,제2종일반주거지역
747,서울특별시 강남구 개포동 1234-7번지,공동주택,20150717, ,20150710,도시지역
748,서울특별시 강남구 개포동 1234-10번지,공동주택,20121207, ,20121205,제2종일반주거지역
749,서울특별시 강남구 개포동 1234-15번지,제2종근린생활시설, , , ,도시지역
750,서울특별시 강남구 개포동 1234-15번지,제2종근린생활시설, , , ,도시지역
751,서울특별시 강남구 개포동 1234-15번지,제2종근린생활시설, , , ,도시지역
752,서울특별시 강남구 개포동 1234-16번지,제2종근린생활시설, , , ,제2종일반주거지역
753,서울특별시 강남구 개포동 1234-16번지,제2종근린생활시설,20221212, ,20221223,제2종일반주거지역
754,서울특별시 강남구 개포동 1235번지,제2종근린생활시설, , , ,도시지역
755,서울특별시 강남구 개포동 1235-8번지,공동주택,20170824, ,20170825,제2종일반주거지역
756,서울특별시 강남구 개포동 1236-1번지, , , , , 
757,서울특별시 강남구 개포동 1236-1번지,공동주택,20171010, ,20171018,준주거지역
758,서울특별시 강남구 개포동 1236-8번지,공동주택,20090925, ,20090925,도시지역
759,서울특별시 강남구 개포동 1236-11번지,공동주택, , , ,준주거지역
760,서울특별시 강남구 개포동 1236-11번지, , , , , 
761,서울특별시 강남구 개포동 1236-11번지,공동주택,20180126, ,20180201,도시지역
762,서울특별시 강남구 개포동 1236-17번지, , , , , 
763,서울특별시 강남구 개포동 1236-17번지,공동주택,20200301, ,20200326,도시지역
764,서울특별시 강남구 개포동 1236-18번지, , , , , 
765,서울특별시 강남구 개포동 1236-18번지,공동주택,20190415, ,20190417,준주거지역
766,서울특별시 강남구 개포동 1237번지,자동차관련시설,20140729, ,20140801,준주거지역
767,서울특별시 강남구 개포동 1237번지, , , , ,준주거지역
768,서울특별시 강남구 개포동 1237-3번지, , , , , 
769,서울특별시 강남구 개포동 1237-3번지,업무시설,20190422, ,20190426,준주거지역
770,서울특별시 강남구 개포동 1237-5번지,제2종근린생활시설, , , ,준주거지역
771,서울특별시 강남구 개포동 1237-7번지, , , , ,준주거지역
772,서울특별시 강남구 개포동 1237-7번지,공동주택,20200622, ,20200623,준주거지역
773,서울특별시 강남구 개포동 1237-8번지,공동주택,20170105, ,20170106,준주거지역
774,서울특별시 강남구 개포동 1237-11번지,제2종근린생활시설, , , ,도시지역
775,서울특별시 강남구 개포동 1237-16번지, , , , , 
776,서울특별시 강남구 개포동 1237-16번지,공동주택,20170310, ,20170220,준주거지역
777,서울특별시 강남구 개포동 1237-19번지, , , , ,준주거지역
778,서울특별시 강남구 개포동 1238-2번지, , , , ,준주거지역
779,서울특별시 강남구 개포동 1238-3번지,업무시설, , , ,준주거지역
780,서울특별시 강남구 개포동 1238-3번지,업무시설, , , ,준주거지역
781,서울특별시 강남구 개포동 1238-5번지,업무시설,20190213, ,20190214,도시지역
782,서울특별시 강남구 개포동 1238-6번지,제2종근린생활시설,20141203, ,20141216,준주거지역
783,서울특별시 강남구 개포동 1238-6번지,자동차관련시설, , , ,준주거지역
784,서울특별시 강남구 개포동 1238-7번지,제1종근린생활시설, , , ,도시지역
785,서울특별시 강남구 개포동 1238-7번지,제2종근린생활시설, , , ,준주거지역
786,서울특별시 강남구 개포동 1238-9번지,제2종근린생활시설,20210527, ,20210603,준주거지역
787,서울특별시 강남구 개포동 1239-4번지,노유자시설,20151228, ,20160104,도시지역
788,서울특별시 강남구 개포동 1239-4번지,노유자시설, , , ,도시지역
789,서울특별시 강남구 개포동 1239-4번지,노유자시설, , , ,일반주거지역
790,서울특별시 강남구 개포동 1239-4번지,노유자시설, , , ,일반주거지역
791,서울특별시 강남구 개포동 1239-10번지,제2종근린생활시설, , , ,도시지역
792,서울특별시 강남구 개포동 1239-12번지, , , , , 
793,서울특별시 강남구 개포동 1239-12번지,공동주택,20160322, ,20160325,도시지역
794,서울특별시 강남구 개포동 1239-15번지,제2종근린생활시설,20170803, ,20170817,제3종일반주거지역
795,서울특별시 강남구 개포동 1239-16번지,업무시설,20191023, ,20191024,도시지역
796,서울특별시 강남구 개포동 1239-17번지,업무시설, , , ,도시지역
797,서울특별시 강남구 개포동 1239-17번지,업무시설, , , ,도시지역
798,서울특별시 강남구 개포동 1240-5번지,제2종근린생활시설, , , ,도시지역
799,서울특별시 강남구 개포동 1240-6번지,제2종근린생활시설,20111110, ,20111107,제2종일반주거지역
800,서울특별시 강남구 개포동 1240-6번지,제2종근린생활시설, , , ,제2종일반주거지역
801,서울특별시 강남구 개포동 1240-8번지,제2종근린생활시설,20141124, ,20141202,제2종일반주거지역
802,서울특별시 강남구 개포동 1240-8번지,공동주택,20210208, ,20210210,제2종일반주거지역
